iter	Passed	Remaining
0	154	154643
1	160	80021
2	164	54730
3	168	41897
4	175	34887
5	193	32031
6	198	28223
7	202	25092
8	206	22759
9	209	20722
10	212	19109
11	217	17905
12	225	17138
13	234	16483
14	246	16190
15	254	15650
16	273	15827
17	278	15172
18	286	14772
19	292	14336
20	301	14033
21	313	13927
22	328	13968
23	342	13940
24	347	13556
25	373	14004
26	398	14372
27	407	14148
28	416	13943
29	479	15494
30	486	15193
31	499	15122
32	518	15198
33	571	16224
34	575	15879
35	582	15602
36	620	16158
37	631	15989
38	635	15666
39	643	15436
40	660	15439
41	665	15176
42	668	14878
43	670	14575
44	677	14374
45	681	14133
46	686	13920
47	712	14127
48	715	13893
49	719	13672
50	723	13465
51	798	14556
52	829	14819
53	886	15538
54	944	16221
55	957	16143
56	965	15972
57	1005	16325
58	1009	16102
59	1016	15920
60	1020	15711
61	1025	15508
62	1027	15289
63	1040	15223
64	1046	15047
65	1057	14959
66	1082	15076
67	1085	14880
68	1094	14767
69	1099	14610
70	1121	14672
71	1125	14502
72	1128	14326
73	1130	14151
74	1134	13992
75	1136	13815
76	1161	13917
77	1168	13812
78	1172	13669
79	1180	13578
80	1185	13444
81	1204	13488
82	1208	13355
83	1213	13232
84	1230	13240
85	1239	13178
86	1245	13071
87	1251	12965
88	1269	12996
89	1282	12971
90	1303	13016
91	1325	13082
92	1332	12993
93	1433	13813
94	1438	13706
95	1474	13884
96	1482	13796
97	1517	13963
98	1564	14240
99	1568	14119
100	1638	14585
101	1643	14469
102	1660	14459
103	1696	14617
104	1714	14613
105	1721	14518
106	1730	14444
107	1739	14368
108	1750	14305
109	1770	14327
110	1774	14212
111	1778	14099
112	1786	14022
113	1789	13905
114	1791	13788
115	1857	14154
116	1862	14052
117	1869	13973
118	1874	13877
119	1878	13778
120	1940	14093
121	1945	14004
122	1949	13902
123	1962	13867
124	1968	13779
125	1985	13773
126	2025	13926
127	2041	13905
128	2045	13812
129	2050	13724
130	2066	13710
131	2071	13621
132	2087	13607
133	2091	13519
134	2096	13433
135	2100	13345
136	2111	13303
137	2189	13679
138	2192	13583
139	2196	13495
140	2201	13409
141	2214	13382
142	2245	13457
143	2278	13546
144	2283	13463
145	2293	13417
146	2297	13333
147	2306	13279
148	2325	13283
149	2339	13256
150	2346	13191
151	2350	13111
152	2389	13229
153	2393	13148
154	2400	13087
155	2407	13023
156	2424	13018
157	2449	13051
158	2450	12963
159	2457	12900
160	2465	12846
161	2469	12772
162	2472	12697
163	2476	12622
