iter	RMSE
0	0.8888793314
1	0.8442250715
2	0.8215276815
3	0.8078977428
4	0.7997042758
5	0.7936340075
6	0.7888441061
7	0.7868823607
8	0.7817758169
9	0.7801680435
10	0.7778248574
11	0.7757535064
12	0.7743678572
13	0.7720302825
14	0.7695139157
15	0.7686638954
16	0.7672573176
17	0.7665251481
18	0.7647026708
19	0.7635145746
20	0.7622964984
21	0.7611402464
22	0.7596838036
23	0.7580380474
24	0.7569511361
25	0.7553025404
26	0.7540235796
27	0.7517287808
28	0.7508924968
29	0.7497307711
30	0.7485038413
31	0.7469594978
32	0.745652001
33	0.7441439257
34	0.7424841369
35	0.7418621057
36	0.7409663338
37	0.7393938372
38	0.7389034385
39	0.7373855148
40	0.7362358626
41	0.7354335213
42	0.7338115092
43	0.7328781952
44	0.7318759784
45	0.7310451505
46	0.7304090132
47	0.7284882227
48	0.7271050121
49	0.7261868024
50	0.7253155243
51	0.7243069551
52	0.722784101
53	0.7222596163
54	0.7215785204
55	0.7198427004
56	0.7186304073
57	0.717943356
58	0.7171975244
59	0.7164140292
60	0.7154595505
61	0.71484683
62	0.7141882691
63	0.7126957954
64	0.7122312905
65	0.7111672336
66	0.7104625955
67	0.7094060709
68	0.7080748472
69	0.7069967064
70	0.7062289788
71	0.7056154115
72	0.7049113597
73	0.7040308718
74	0.7037799018
75	0.70281778
76	0.7021673813
77	0.7015466264
78	0.7008964753
79	0.7002143278
80	0.6995076699
81	0.6983363522
82	0.6974153119
83	0.6966483763
84	0.6956095013
85	0.6945463233
86	0.6933011374
87	0.6919286955
88	0.690991608
89	0.6903604227
90	0.6898302658
91	0.6893035977
92	0.6890539486
93	0.6881707028
94	0.6877200821
95	0.6867787906
96	0.6861803749
97	0.6853685268
98	0.6841681085
99	0.6831082172
