iter	Passed	Remaining
0	155	15353
1	167	8196
2	177	5744
3	189	4546
4	198	3776
5	209	3280
6	221	2946
7	231	2665
8	257	2599
9	264	2377
10	273	2215
11	287	2109
12	300	2013
13	322	1979
14	340	1930
15	351	1847
16	359	1755
17	375	1712
18	393	1675
19	421	1687
20	441	1661
21	456	1617
22	470	1574
23	486	1540
24	499	1498
25	512	1458
26	543	1468
27	566	1457
28	602	1475
29	643	1502
30	673	1499
31	707	1503
32	779	1583
33	831	1614
34	887	1648
35	918	1633
36	947	1612
37	976	1592
38	1019	1594
39	1043	1565
40	1081	1556
41	1108	1530
42	1132	1501
43	1153	1468
44	1170	1430
45	1195	1403
46	1217	1373
47	1234	1337
48	1245	1296
49	1263	1263
50	1279	1228
51	1305	1204
52	1333	1182
53	1395	1188
54	1421	1163
55	1443	1134
56	1455	1098
57	1467	1063
58	1479	1028
59	1491	994
60	1506	963
61	1527	936
62	1542	905
63	1553	873
64	1561	840
65	1575	811
66	1594	785
67	1606	756
68	1618	727
69	1628	698
70	1640	670
71	1651	642
72	1660	614
73	1670	586
74	1685	561
75	1703	538
76	1722	514
77	1741	491
78	1753	466
79	1762	440
80	1769	415
81	1778	390
82	1786	365
83	1795	342
84	1803	318
85	1814	295
86	1825	272
87	1835	250
88	1848	228
89	1862	206
90	1886	186
91	1901	165
92	1908	143
93	1919	122
94	1925	101
95	1936	80
96	1944	60
97	1957	39
98	1965	19
99	1974	0
